,English,SimplifiedChinese,TraditionalChinese,Russian,Indonesian,Vietnamese
Menu Unlocker,Menu Unlocker,菜单解锁器,選單解鎖器,Menu Unlocker,Pembuka Menu,
MenuUnlocker,MenuUnlocker,菜单解锁器,選單解鎖器,MenuUnlocker,MenuUnlocker,
Merchant,Merchant,商人,商人,Торговец,Merchant,
Merge selected files,Merge selected files,合并选定文件,合併選定文件,Merge selected files,Gabungkan file yang dipilih,
Messenger,Messenger,信使,信使,Посыльный,Messenger,
Middle Screen Tracer,Middle Screen Tracer,设置追踪点为屏幕中心,設置追蹤點為螢幕中心,Линия от центра экрана,Tracer Tengah Layar,
Mika,Mika,米卡,米卡,Мика,Mika,
Millelith,Millelith,千岩军,千岩軍,Миллелит,Millelith,
Min Delay Time (s),Min Delay Time (s),最小延迟（秒）,最小延遲（秒）,Минимальное время задержки (в сек),Waktu Delay Min (s),
Min Multiplier,Min Multiplier,倍攻最小值,倍攻最小值,Минимальный множитель,Pengganda Min,
Min Zoom,Min Zoom,最小视距,最小變焦,Минимальное приближение,Zoom Min,
Min. Entity Size,Min. Entity Size,最小实体大小,最小實體大小,Минимальный размер Entity,Ukuran Entitas Min,
Mineral,Mineral,矿物,礦物,Минерал,Mineral,
Mini Puzzle,Mini Puzzle,迷你拼图,迷你拼圖,Мини-пазл,Mini Puzzle,
Minimap icon size,Minimap icon size,迷你地图大小,迷你地圖大小,Размер иконки на мини-карте,Ukuran ikon minimap,
Minimum Health,Minimum Health,最小生命值,最小生命值,Минимальное здоровье,HP Minimum,
"Minimum entity size as measured in-world.
Some entities have either extremely small or no bounds at all.
This parameter helps filter out entities that don't meet this condition.","Minimum entity size as measured in-world.
Some entities have either extremely small or no bounds at all.
This parameter helps filter out entities that don't meet this condition.","测量的最小实体大小。
一些实体的边界非常小或根本没有边界，
此选项有助于过滤掉不满足此条件的实体。","測量的最小實體大小。
一些實體的邊界非常小或根本沒有邊界，
此選項有助於過濾掉不滿足此條件的實體。","Минимальный размер Entity, указанное в пропорциях игрового мира.
Некоторые entities могут быть крайне маленькими.
Эта функция позволяет отсортировать entities, которые являются меньше минимлаьного размера Entity.","Ukuran minimum entitas yang diukur di Open World.
Beberapa entitas mungkin terlalu kecil atau tidak memiliki bound sama sekali.
Parameter ini membantu mem-filter entitas yang tidak memenuhi syarat tersebut.",
Minimum health (in %) required before god mode takes effect.,Minimum health (in %) required before god mode takes effect.,无敌模式生效所需的最低百分比生命值,無敵模式生效所需的最低百分比生命值,"Предел здоровья (в %), при достижении которого автоматически включается бессмертие.",Minimum HP (dalam %) yang diperlukan supaya Mode Kebal mulai aktif.,
Mint,Mint,薄荷,薄荷,Мята,Mint,
Misc,Misc,其它,其它,Прочее,Lainnya,
Missing Attack Rate,Missing Attack Rate,攻击闪避概率,攻擊閃避概率,Шанс промаха вражеской атаки,Rasio Menghindari Serangan,
Missive Windspear,Missive Windspear,风信之锋,風信之鋒,Копьё послания ветров,Missive Windspear,
Mist Bubble,Mist Bubble,神秘的气泡,神秘的氣泡,Туманный пузырь,Mist Bubble,
Mist Flower Corolla,Mist Flower Corolla,冰雾花,冰霧花,Венчик туманного цветка,Mist Flower Corolla,
Mistsplitter Reforged,Mistsplitter Reforged,雾切之回光,霧切之回光,Рассекающий туман,Mistsplitter Reforged,
Mitachurl,Mitachurl,丘丘暴徒,丘丘暴徒,Митачурл,Mitachurl,
Mitternachts Waltz,Mitternachts Waltz,幽夜华尔兹,幽夜華爾茲,Вальс Нирваны Ночи,Mitternachts Waltz,
Mob Drop Radius (m),Mob Drop Radius (m),生物掉落物吸附半径(米),生物掉落物吸附半徑(米),Радиус упавших предметов с мобов (в метрах),Radius Drop Musuh (m),
Mob Vacuum,Mob Vacuum,生物吸附,生物吸附,Притягивание мобов,Vakum Musuh,
MobVacuum,MobVacuum,生物吸附,生物吸附,Притягивание мобов,MobVacuum,
Modifies pickup/open range to this value (in meters).,Modifies pickup/open range to this value (in meters).,修改 拾取范围/开箱范围。请修改该选项的数值(单位：米)。,修改 拾取範圍/開箱範圍。請修改該選項的數值(單位：米)。,Дальность поднятия предметов и открытия сундуков (в метрах).,Mengubah jarak ambil/buka menjadi nilai ini (dalam meter).,
"Modify monsters when it spawns, work after teleportation.
monster skills only work for HostPlayer.","Modify monsters when it spawns, work after teleportation.
monster skills only work for HostPlayer.","在怪物生成时修改怪物，传送后生效。
怪物技能只适用于HostPlayer。","在怪物生成時修改怪物，傳送後生效。 
怪物技能只適用於HostPlayer。","Заменить моба сразу после того, как он заспавнится. Моб может применять свои навыки только у хоста.","Mengubah monster saat muncul, diterapkan setelah teleportasi.
skill monster hanya berpengaruh pada Host.",
Mona,Mona,莫娜,莫娜,Мона,Mona,
Mona_PactOfStarsandMoon,Mona: Pact of Starsand Moon,莫娜：星与月之约,莫娜：星與月之約,Мона: Встреча звёзд и луны,Mona: Pact of Starsand Moon,
Mondstadt Shrine of Depths,Mondstadt Shrine of Depths,蒙德地灵龛,蒙德地靈龕,Усыпальница глубин Мондштадта,Mondstadt Shrine of Depths,
Monster,Monster,怪物,怪物,Монстр,Monster,
Monster Applied Element,Monster Applied Element,应用于怪物的元素,應用於怪物的元素,Применяемый элемент на монстре,Elemen Untuk Monster,
Monster Changer,Monster Changer,怪物替换,怪物替換,Заменитель мобов,Pengubah Monster,
Monster ID,Monster ID,怪物 ID,怪物 ID,ID моба,Monster ID,
MonsterChanger,MonsterChanger,怪物替换,怪物替換,Заменитель мобов,MonsterChanger,
MonsterId,MonsterId,怪物ID,怪物ID,ID моба,MonsterId,
Monsters,Monsters,怪物,怪物,Монстры,Monsters,
Moonpiercer,Moonpiercer,贯月矢,貫月矢,Пронзающий луну,Moonpiercer,
Mora,Mora,摩拉,摩拉,Мора,Mora,
"Mora/XP, overworld/Trounce bosses, etc.","Mora/XP, overworld/Trounce bosses, etc.",摩拉/经验、主世界/周本boss等,摩拉/經驗、主世界/周本boss等,"Цветы озарения, цветы богатства, награды с боссов, и т.д.","Mora/XP, overworld/bos Trounce, dll.",
Most gadgets can't be interacted and monsters can't be damaged/deal damage.,Most gadgets can't be interacted and monsters can't be damaged/deal damage.,大多数小工具无法交互，怪物无法受到伤害/造成伤害,大多數小工具無法互動，怪物無法受到傷害/造成傷害,"Большинство взаимодействий будут недоступны и монстры не смогут нанести вам урон, как и вы им.",Hampir semua gadget tidak bisa diinteraksi dan monster tidak bisa diserang/menyerang.,
Mountain Date Wood,Mountain Date Wood,刺葵木,刺葵木,Финиковая пальма,Mountain Date Wood,
Mouun's Moon,Mouun's Moon,曚云之月,曚雲之月,Луна Моун,Mouun's Moon,
Move FPS Indicator,Move FPS Indicator,移动FPS指示器,移動FPS指示器,Передвижение счётчика FPS,Geser Indikator FPS,
Move Info Window,Move Info Window,移动信息窗口,移動信息視窗,Передвижение окна 'Info',Geser Jendela Info,
Move Status Window,Move Status Window,移动状态窗口,移動狀態視窗,Передвижение окна 'Status',Geser Jendela Status,
Move Sync Packet Replacement,Move Sync Packet Replacement,阻止上传模式(更安全),更換 移動同步封包,Замена пакетов передвижения во время синхронизации с сервером,Pengganti Packet Sinkronisasi Gerakan,
Move relative to camera view instead of avatar view/direction.,Move relative to camera view instead of avatar view/direction.,相对相机视角进行移动而不是角色朝向移动,相對相機視角進行移動而不是角色朝向移動,"Движение в сторону направления камеры, нежели в сторону взгляда модели персонажа.","Pergerakan berdasarkan kamera, bukan avatar.",
Movement Smoothing,Movement Smoothing,移动平滑度,移動平滑度,Плавность передвижения,Penghalus Gerakan,
Movement Speed,Movement Speed,移动速度,移動速度,Скорость передвижения,Kecepatan Gerakan,
Movement speed when using fall control,Movement speed when using fall control,当使用坠落控制时的移动速度,當使用墜落控制時的移動速度,Скорость передвижения при регулировке скорости падения,Kecepatan gerakan saat menggunakan kontrol jatuh,
Mud Frog,Mud Frog,泥蛙,泥蛙,Грязевая лягушка,Mud Frog,
Multi-Animation,Multi-Animation,多重动画,多重動畫,Мульти-анимация,Multi-Animation,
Multi-Hit,Multi-Hit,倍攻,倍攻,Мульти-хит,Multi-Hit,
Multi-Hit Mode,Multi-Hit Mode,倍攻模式,倍攻模式,Режим мульти-хита,Multi-Hit Mode,
Multi-Hit Random,Multi-Hit Random,随机倍攻,隨機倍攻,Рандомный мульти-хит,Multi-Hit Random,
Multi-Hit [OnePunch],Multi-Hit [OnePunch],倍攻 [一拳模式],倍攻 [一拳模式],Одноударный мульти-хит,Multi-Hit [OnePunch],
Multi-Target,Multi-Target,普攻范围,多目標攻擊,Мульти-цель,Multi-Target,
Multiplier,Multiplier,倍率,倍率,Множитель,Pengganda,
Mushroom,Mushroom,蘑菇,蘑菇,Гриб,Mushroom,
MutantElectroSlime,MutantElectroSlime,变异雷史莱姆,變異雷史萊姆,Электро слайм-мутант,MutantElectroSlime,
Mute metrics output,Mute metrics output,屏蔽指标输出,屏蔽指標輸出,Mute metrics output,Nonaktifkan output metrik,
Mute spam from metrics library in console (changes will take effect after relaunch).,Mute spam from metrics library in console (changes will take effect after relaunch).,干掉指标库发送到控制台的垃圾信息（重启游戏生效）。,幹掉指標庫發送到控制台的垃圾信息（重啟遊戲生效）。,Mute spam from metrics library in console (changes will take effect after relaunch).,Nonaktifkan spam dari library metrik di konsol (perubahan akan berlaku setelah program dijalankan ulang).,
Mysterious Carvings,Mysterious Carvings,神秘的刻像,神秘的刻像,Таинственные изваяния,Mysterious Carvings,
Mysterious Meat,Mysterious Meat,神秘的肉,神秘的肉,Загадочное мясо,Mysterious Meat,
Mysterious Stone Slate,Mysterious Stone Slate,神秘的石板,神秘的石板,Таинственная каменная табличка,Mysterious Stone Slate,
NOTE: Custom filter is only for advanced users or contributors! You must know what are you doing.,NOTE: Custom filter is only for advanced users or contributors! You must know what are you doing.,注意：自定义筛选器是给进阶用户或者开发者使用的，请确定你清楚你在做什么。,注意：自定義篩選器是給進階使用者或者開發者使用的，請確定你清楚你在做什麼。,"ВАЖНО: Вы должны понимать что вы делаете, эти фильтры только для продвинутых пользователей и/или разработчиков!",CATATAN: Filter kustom hanya untuk pengguna yang paham atau kontributor! Kamu harus tahu apa yang kamu lakukan.,
NPC,NPC,NPC,NPC,NPC,NPC,
NPCs,NPCs,宠物型,寵物型,NPC,NPC,
Nada,Nada,「正机之神1」,「正機之神1」,Нада,Nada,
Nada_2,Nada_2,「七叶寂照秘密主」,「七葉寂照秘密主」,Нада_2,Nada_2,
Nahida,Nahida,纳西妲,納西妲,Нахида,Nahida,
Naku Weed,Naku Weed,鸣草,鳴草,Трава наку,Naku Weed,
