,English,SimplifiedChinese,TraditionalChinese,Russian,Indonesian,Vietnamese
Nahida,Nahida,纳西妲,納西妲,Нахида,Nahida,Nahida
Increase FOV,Increase FOV,增加FOV,增加FOV,Увеличить поле обзора,Naikkan FOV,Tăng FOV
Naku Weed,Naku Weed,鸣草,鳴草,Трава наку,Naku Weed,Cỏ Naku
Name,Name,名称,名稱,Имя,Nama,Tên
Account Name,Account Name,账号名称,帳號名稱,Имя аккаунта,Nama Akun,Tên tài khoản
"Unknown Names:
","Unknown Names:
","未知名稱：
","未知名称：
","Неизвестные названия:
",Nama Asing:,Những cái tên không xác định:
"Wow, you found unknown chest names. This means this chest type has no filter yet.","Wow, you found unknown chest names. This means this chest type has no filter yet.",哇，你发现了未知的宝箱名称， 这代表这种宝箱类型还没有过滤器。,哇，你發現了未知的寶箱名稱。這代表著這種寶箱類型還沒有過濾器。,"Ого, ты нашёл неизвестный сундук. Это значит, что для этого сундука нет никакого фильтра.",Nama chest tidak ditemukan. Tipe chest ini belum memiliki filter.,"Ê bro, bạn đã tìm thấy những cái rương không tên. Có nghĩa là loại rương này vẫn chưa có filter."
Map name,Map name,地图名称,地圖名稱,Map name,Nama map,Tên Map
Pipe name,Pipe name,管道名,管道名,Название pipe,Nama pipe,Tên đường ống
Pipe name for connecting. Changes will apply after next game launch.,Pipe name for connecting. Changes will apply after next game launch.,用于连接的管道名称。更改将在下次游戏启动时生效。,用於連接的管道名稱。更改將在下次遊戲啟動時生效。,Название pipe для подключения к нему. Изменения вступят в силу после перезапуска игры.,Nama pipe untuk koneksi. Perubahan diterapkan setelah restart game.,Tên đường ống để kết nối. Thay đổi sẽ áp dụng với lần mở game kế tiếp.
Display Name,Display Name,显示的名称,顯示的名稱,Отображающеся название,Nama Tampilan,Tên hiển thị
Theme Name,Theme Name,主题名称,主題名稱,Название темы,Nama Tema,Chọn tên
NickName,NickName,昵称,暱稱,Никнейм,NickName,NickName
Attack count maximum multiplier.,Attack count maximum multiplier.,倍攻最大倍率,倍攻最大倍率,Максимальный множитель количества атак.,Nilai maksimum pengganda serangan.,Thông số tấn công tối đa
Attack count minimum multiplier.,Attack count minimum multiplier.,倍攻最小倍率,倍攻最小倍率,Минимальный множитель количества атак.,Nilai minimum pengganda serangan.,Thông số tấn công tối thiểu
Attack count multiplier.,Attack count multiplier.,倍攻数量,倍攻倍率,Множитель количества атак.,Nilai pengganda serangan.,Thông số tấn công
Damage Value,Damage Value,伤害数值,傷害數值,Сумма урона,Nilai Serangan,Giá trị thiệt hại
Crash damage value,Crash damage value,坠落伤害数值,墜落傷害數值,Сумма урона удара в падении,Nilai serangan crash,Giá trị Crash DMG
Crash damage with percent value.,Crash damage with percent value.,坠落伤害将造成百分比伤害,墜落傷害將造成百分比傷害,Сумма удара удара в падении в процентном значении.,Nilai serangan crash dalam bentuk persentase.,Crash DMG với giá trị %
Nilotpala Lotus,Nilotpala Lotus,月莲,月蓮,Лотус нилотпала,Nilotpala Lotus,Sen Nilotpala
Nilou,Nilou,妮露,妮露,Нилоу,Nilou,Nilou
Ningguang,Ningguang,凝光,凝光,Нин Гуан,Ningguang,Ningguang
Ningguang_OrchidsEveningGown,Ningguang: Orchids Evening Gown,凝光：纱中幽兰,凝光：紗中幽蘭,Нин Гуан: Флёр орхидеи,Ningguang: Orchids Evening Gown,Ninggquang: U Lan Tinh Diệu
No Clip,No Clip,自由移动,自由移動,No-Clip,No Clip,No Clip
No Fall,No Fall,无摔落,無摔落,Без падения,No Fall,Không rơi
No-Clip,No-Clip,自由移动,自由移動,No-Clip,No-Clip,No-Clip
Alternate No-clip,Alternate No-clip,备用自由移动,備用自由移動,Альтернативный No-Clip,No-clip Alternatif,Thay thế No-Clip
No. of Columns,No. of Columns,列数,列數,Количество столбцов,No. Kolom,Số cột
Nobushi,Nobushi,武士,武士,Нобуси,Nobushi,Cường đạo
NoClip,NoClip,自由移动,自由移動,No-Clip,NoClip,NoClip
Noctilucous Jade,Noctilucous Jade,夜泊石,夜泊石,Полуночный нефрит,Noctilucous Jade,Dạ phách thạch
Noctilucous Jade Drop,Noctilucous Jade Drop,夜泊石掉落,夜泊石掉落,Полуночный нефрит,Noctilucous Jade Drop,Dạ phách thạch rơi ra
Noelle,Noelle,诺艾尔,諾艾爾,Ноэлль,Noelle,Noelle
Disabled,Disabled,关闭,關閉,Отключённое,Nonaktif,Đã vô hiệu hoá
No fall damage.,No fall damage.,无摔落伤害。,無摔落傷害。,При включении функции вам не будет наноситься урон при падении.,Nonaktifkan damage saat jatuh.,Không DMG Rơi
Mute metrics output,Mute metrics output,屏蔽指标输出,屏蔽指標輸出,Mute metrics output,Nonaktifkan output metrik,Mute đầu ra metrics
Mute spam from metrics library in console (changes will take effect after relaunch).,Mute spam from metrics library in console (changes will take effect after relaunch).,干掉指标库发送到控制台的垃圾信息（重启游戏生效）。,幹掉指標庫發送到控制台的垃圾信息（重啟遊戲生效）。,Mute spam from metrics library in console (changes will take effect after relaunch).,Nonaktifkan spam dari library metrik di konsol (perubahan akan berlaku setelah program dijalankan ulang).,Mute spam từ thư viện metrics trong console (thay đổi sẽ ảnh hưởng sau khi mở lại game)
Normal,Normal,普通,普通,Нормальный,Normal,Bình thường
Ground normal: %s,Ground normal: %s,Ground normal: %s,Ground normal: %s,Ground normal: %s,Normal permukaan: %s,Ground normal: %s
Notifications on the bottom-right corner of the window will be displayed.,Notifications on the bottom-right corner of the window will be displayed.,显示窗口右下角的通知。,顯示視窗右下角的通知。,Уведомления будут расположены внизу правого угла,Notifikasi akan muncul di pojok kanan jendela.,Thông báo xuất hiện ở góc phải dưới của cửa sổ sẽ được displayed.
NPC,NPC,NPC,NPC,NPC,NPC,NPC
NPCs,NPCs,宠物型,寵物型,NPC,NPC,NPC_2
Npc,Npc,NPC,NPC,NPC,Npc,NPC
Nurseries In The Wilds,Nurseries In The Wilds,荒野中的苗圃,荒野中的苗圃,Питомники,Nurseries In The Wilds,Puzzle giải cây sumeru
Nurseries in the Wilds,Nurseries in the Wilds,荒野中的苗圃,荒野中的苗圃,Питомники,Nurseries in the Wilds,Puzzle giải cây sumeru
Oathsworn Eye,Oathsworn Eye,证誓之明瞳,證誓之明瞳,Око клятвы,Oathsworn Eye,Con Ngươi Tuyên Thệ
Ocean Crab,Ocean Crab,海蓝蟹,海藍蟹,Водный краб,Ocean Crab,Cua biển
Oceanid,Oceanid,纯水精灵,水幻形,Океанид,Oceanid,Tinh linh nước trong
Oceanid Boar,Oceanid Boar,幻形豕兽·水,幻形豕獸·水,Кабан Океанида,Oceanid Boar,Heo Biển
Oceanid Crab,Oceanid Crab,幻形蟹·水,幻形蟹·水,Краб Океандиа,Oceanid Crab,Cua Biển
Oceanid Crane,Oceanid Crane,幻形鹤·水,幻形鶴·水,Журавль Океанида,Oceanid Crane,Cò Biển
Oceanid Falcon,Oceanid Falcon,幻形飞鹰·水,幻形飛鷹·水,Коршун Океанида,Oceanid Falcon,Chim ưng Biển
Oceanid Finch,Oceanid Finch,幻形雀·水,幻形雀·水,Воробей Океанида,Oceanid Finch,Chim Sẻ Biển
Oceanid Frog,Oceanid Frog,幻形蛙·水,幻形蛙·水,Лягушка Океанида,Oceanid Frog,Ếch Biển
Oceanid Squirrel,Oceanid Squirrel,幻形花鼠·水,幻形花鼠·水,Белка Океанида,Oceanid Squirrel,Sóc Biển
Oceanid Wigeon,Oceanid Wigeon,幻形游禽·水,幻形遊禽·水,Утка Океанида,Oceanid Wigeon,Bồ Câu Biển
Oculi,Oculi,神瞳,神瞳,Окулус,Oculus,Thần đồng
Oculus,Oculus,神瞳,神瞳,Окулус,Oculus,Thần đồng
OffscreenArrows,OffscreenArrows,离屏箭头,箭头,Стрелы за экраном,OffscreenArrows,Các mũi tên Offscreen
Old Merc's Pal,Old Merc's Pal,佣兵重剑,傭兵重劍,Лучший друг наёмника,Old Merc's Pal,Kiếm Dụng Binh
Onikabuto,Onikabuto,鬼兜虫,鬼兜蟲,Оникабуто,Onikabuto,Bọ Onikabuto
OnlyPlayer,OnlyPlayer,仅玩家,僅玩家,OnlyPlayer,OnlyPlayer,Chỉ Người Chơi
Oozing Concretions,Oozing Concretions,淤泥涌口,淤泥湧口,Грязевая скважина,Oozing Concretions,Khối u ma vực
Open-World Chests,Open-World Chests,开放世界宝箱,開放世界寶箱,Сундуки мира,Open-World Chests,Rương thế giới mở
OpenTeam,OpenTeam,立即打开队伍界面,立即打開隊伍界面,Моментальное открытие меню отряда,OpenTeam,Team Mở
Action,Action,行为,行為,Действие,Opsi,Hành động
Actions,Actions,行为,行為,Действия,Opsi,Các hoặc động
Ores,Ores,矿物,礦物,Руда,Ore,Các loại Quặng
"Ores and variants, e.g. electro crystals, marrows, etc.","Ores and variants, e.g. electro crystals, marrows, etc.",矿物及其变种，如：电气水晶、晶化骨髓等。,礦物及其變種，如：電氣水晶、晶化骨髓等。,"Руда и подобные ресурсы (клык, костный мозг, и т.д.)","Ore dan variannya, cth. electro crystal, marrow, dll.","Quặng và các biến thể, ví dụ: tinh thể điện, tủy, vv"
Otherworldly Story,Otherworldly Story,异世界行记,異世界行記,Потусторонняя история,Otherworldly Story,Tiểu thuyết dị giới
OTI,OTI,立即打开队伍界面,立即打開隊伍界面,Моментальное открытие меню отряда,OTI,Mở team nhanh
Otogi Wood,Otogi Wood,御伽木,禦伽木,Отоги,Otogi Wood,Gỗ Otogi
Auto,Auto,自动,自動,Авто,Otomatis,Tự động
Auto collect time challenge item,Auto collect time challenge item,自动收集时间挑战的道具,自動收集時間挑戰的道具,Автосбор элементальных частиц в испытаниях на время,Otomatis mengambil item tantangan waktu,Tự động thu thập vật phẩm khiêu chiến hạn giờ
Auto weakspot,Auto weakspot,自动弱点,自動弱點,Автоматически атаковать слабое место,Otomatis menyerang titik lemah,Tự động tập trung vào điểm yếu
